#Spectroscopic factors for transition between 30Mg_fsu9_M0T6+ and 29Mg_fsu9_M1T5+
#File: 30Mg_fsu9+.xml Final(daugter) system file: 29Mg_fsu9+.xml
#parent Ex(p) daugther Ex(d) L SF=|A|^2 
0+(1)	0	3/2+(1)	0	2	1.51979
0+(1)	0	1/2+(1)	0.046	0	1.22497
0+(1)	0	5/2+(1)	1.595	2	0.13336
0+(1)	0	3/2+(2)	2.331	2	0.12894
0+(1)	0	1/2+(2)	2.627	0	0.362713
0+(1)	0	5/2+(2)	3.154	2	1.94041
0+(1)	0	3/2+(3)	3.503	2	0.292845
0+(1)	0	5/2+(3)	3.569	2	0.628195
2+(1)	1.591	3/2+(1)	0	0	0.131148
2+(1)	1.591	3/2+(1)	0	2	0.498239
2+(1)	1.591	1/2+(1)	0.046	2	0.0655679
2+(1)	1.591	5/2+(1)	1.595	0	0.725648
2+(1)	1.591	5/2+(1)	1.595	2	0.100547
2+(1)	1.591	7/2+(1)	2.099	2	0.658487
2+(1)	1.591	3/2+(2)	2.331	0	0.124704
2+(1)	1.591	3/2+(2)	2.331	2	0.0212721
2+(1)	1.591	1/2+(2)	2.627	2	0.287398
2+(1)	1.591	5/2+(2)	3.154	0	0.0571715
2+(1)	1.591	5/2+(2)	3.154	2	0.118702
2+(1)	1.591	3/2+(3)	3.503	0	0.388809
2+(1)	1.591	3/2+(3)	3.503	2	0.149668
2+(1)	1.591	5/2+(3)	3.569	0	0.0949884
2+(1)	1.591	5/2+(3)	3.569	2	0.365447
2+(1)	1.591	9/2+(1)	3.982	2	0.0421502
2+(2)	3.433	3/2+(1)	0	0	0.0191229
2+(2)	3.433	3/2+(1)	0	2	0.486045
2+(2)	3.433	1/2+(1)	0.046	2	0.386674
2+(2)	3.433	5/2+(1)	1.595	0	0.00455972
2+(2)	3.433	5/2+(1)	1.595	2	0.354209
2+(2)	3.433	7/2+(1)	2.099	2	0.226233
2+(2)	3.433	3/2+(2)	2.331	0	0.258965
2+(2)	3.433	3/2+(2)	2.331	2	0.0754061
2+(2)	3.433	1/2+(2)	2.627	2	0.0287563
2+(2)	3.433	5/2+(2)	3.154	0	0.0807277
2+(2)	3.433	5/2+(2)	3.154	2	0.0462218
2+(2)	3.433	3/2+(3)	3.503	0	0.050547
2+(2)	3.433	3/2+(3)	3.503	2	0.101105
2+(2)	3.433	5/2+(3)	3.569	0	0.026646
2+(2)	3.433	5/2+(3)	3.569	2	0.00315311
2+(2)	3.433	9/2+(1)	3.982	2	0.0212695
4+(1)	3.893	3/2+(1)	0	2	5.67111e-05
4+(1)	3.893	5/2+(1)	1.595	2	0.0226543
4+(1)	3.893	7/2+(1)	2.099	0	0.0292863
4+(1)	3.893	7/2+(1)	2.099	2	0.349117
4+(1)	3.893	3/2+(2)	2.331	2	0.000157746
4+(1)	3.893	5/2+(2)	3.154	2	0.0414086
4+(1)	3.893	3/2+(3)	3.503	2	0.0176029
4+(1)	3.893	5/2+(3)	3.569	2	0.0809199
4+(1)	3.893	9/2+(1)	3.982	0	0.0818641
4+(1)	3.893	9/2+(1)	3.982	2	0.56315
3+(1)	4.661	3/2+(1)	0	2	0.102576
3+(1)	4.661	1/2+(1)	0.046	2	0.0134185
3+(1)	4.661	5/2+(1)	1.595	0	0.013943
3+(1)	4.661	5/2+(1)	1.595	2	0.285329
3+(1)	4.661	7/2+(1)	2.099	0	0.0164629
3+(1)	4.661	7/2+(1)	2.099	2	0.477407
3+(1)	4.661	3/2+(2)	2.331	2	0.202598
3+(1)	4.661	1/2+(2)	2.627	2	0.00125716
3+(1)	4.661	5/2+(2)	3.154	0	0.0842793
3+(1)	4.661	5/2+(2)	3.154	2	0.00666154
3+(1)	4.661	3/2+(3)	3.503	2	0.0137121
3+(1)	4.661	5/2+(3)	3.569	0	0.0234191
3+(1)	4.661	5/2+(3)	3.569	2	0.0084809
3+(1)	4.661	9/2+(1)	3.982	2	0.126214
2+(3)	4.789	3/2+(1)	0	0	0.0141669
2+(3)	4.789	3/2+(1)	0	2	0.189648
2+(3)	4.789	1/2+(1)	0.046	2	0.0610472
2+(3)	4.789	5/2+(1)	1.595	0	0.0354307
2+(3)	4.789	5/2+(1)	1.595	2	0.216466
2+(3)	4.789	7/2+(1)	2.099	2	0.0436752
2+(3)	4.789	3/2+(2)	2.331	0	0.023379
2+(3)	4.789	3/2+(2)	2.331	2	0.122574
2+(3)	4.789	1/2+(2)	2.627	2	0.00255254
2+(3)	4.789	5/2+(2)	3.154	0	0.0110831
2+(3)	4.789	5/2+(2)	3.154	2	0.104994
2+(3)	4.789	3/2+(3)	3.503	0	2.79333e-07
2+(3)	4.789	3/2+(3)	3.503	2	0.0188072
2+(3)	4.789	5/2+(3)	3.569	0	0.0349886
2+(3)	4.789	5/2+(3)	3.569	2	0.232992
2+(3)	4.789	9/2+(1)	3.982	2	0.0955893
2+(4)	5.147	3/2+(1)	0	0	0.00231113
2+(4)	5.147	3/2+(1)	0	2	0.194901
2+(4)	5.147	1/2+(1)	0.046	2	0.0513883
2+(4)	5.147	5/2+(1)	1.595	0	0.0298619
2+(4)	5.147	5/2+(1)	1.595	2	0.372791
2+(4)	5.147	7/2+(1)	2.099	2	0.0642919
2+(4)	5.147	3/2+(2)	2.331	0	0.0449424
2+(4)	5.147	3/2+(2)	2.331	2	0.1182
2+(4)	5.147	1/2+(2)	2.627	2	0.0447604
2+(4)	5.147	5/2+(2)	3.154	0	0.0884623
2+(4)	5.147	5/2+(2)	3.154	2	0.0252385
2+(4)	5.147	3/2+(3)	3.503	0	0.0166069
2+(4)	5.147	3/2+(3)	3.503	2	0.00216404
2+(4)	5.147	5/2+(3)	3.569	0	0.000372703
2+(4)	5.147	5/2+(3)	3.569	2	0.0479546
2+(4)	5.147	9/2+(1)	3.982	2	0.0255977
1+(1)	5.166	3/2+(1)	0	0	0.017342
1+(1)	5.166	3/2+(1)	0	2	0.235733
1+(1)	5.166	1/2+(1)	0.046	0	0.000107586
1+(1)	5.166	1/2+(1)	0.046	2	0.423575
1+(1)	5.166	5/2+(1)	1.595	2	0.364735
1+(1)	5.166	7/2+(1)	2.099	2	0.000350704
1+(1)	5.166	3/2+(2)	2.331	0	0.411336
1+(1)	5.166	3/2+(2)	2.331	2	0.39938
1+(1)	5.166	1/2+(2)	2.627	0	0.000306543
1+(1)	5.166	1/2+(2)	2.627	2	0.0144619
1+(1)	5.166	5/2+(2)	3.154	2	0.104637
1+(1)	5.166	3/2+(3)	3.503	0	0.0640236
1+(1)	5.166	3/2+(3)	3.503	2	0.0141408
1+(1)	5.166	5/2+(3)	3.569	2	0.014226
4+(2)	5.316	3/2+(1)	0	2	0.000152305
4+(2)	5.316	5/2+(1)	1.595	2	0.0664594
4+(2)	5.316	7/2+(1)	2.099	0	0.0527792
4+(2)	5.316	7/2+(1)	2.099	2	0.421624
4+(2)	5.316	3/2+(2)	2.331	2	0.00094955
4+(2)	5.316	5/2+(2)	3.154	2	0.0385124
4+(2)	5.316	3/2+(3)	3.503	2	0.00708688
4+(2)	5.316	5/2+(3)	3.569	2	0.03522
4+(2)	5.316	9/2+(1)	3.982	0	0.126311
4+(2)	5.316	9/2+(1)	3.982	2	0.238509
1+(2)	5.702	3/2+(1)	0	0	0.00198778
1+(2)	5.702	3/2+(1)	0	2	0.00727376
1+(2)	5.702	1/2+(1)	0.046	0	0.000161544
1+(2)	5.702	1/2+(1)	0.046	2	0.000587804
1+(2)	5.702	5/2+(1)	1.595	2	0.00177467
1+(2)	5.702	7/2+(1)	2.099	2	0.000282422
1+(2)	5.702	3/2+(2)	2.331	0	0.00300673
1+(2)	5.702	3/2+(2)	2.331	2	0.00126016
1+(2)	5.702	1/2+(2)	2.627	0	0.00354516
1+(2)	5.702	1/2+(2)	2.627	2	0.167471
1+(2)	5.702	5/2+(2)	3.154	2	0.0779811
1+(2)	5.702	3/2+(3)	3.503	0	0.00515503
1+(2)	5.702	3/2+(3)	3.503	2	0.0717754
1+(2)	5.702	5/2+(3)	3.569	2	0.0514201
0+(2)	5.818	3/2+(1)	0	2	8.73562e-06
0+(2)	5.818	1/2+(1)	0.046	0	0.0736226
0+(2)	5.818	5/2+(1)	1.595	2	0.0623889
0+(2)	5.818	3/2+(2)	2.331	2	1.76656
0+(2)	5.818	1/2+(2)	2.627	0	4.66529e-05
0+(2)	5.818	5/2+(2)	3.154	2	0.022564
0+(2)	5.818	3/2+(3)	3.503	2	0.164444
0+(2)	5.818	5/2+(3)	3.569	2	0.0269291
4+(3)	6.343	3/2+(1)	0	2	0.00857187
4+(3)	6.343	5/2+(1)	1.595	2	0.0872194
4+(3)	6.343	7/2+(1)	2.099	0	0.0220098
4+(3)	6.343	7/2+(1)	2.099	2	0.0802308
4+(3)	6.343	3/2+(2)	2.331	2	0.00637667
4+(3)	6.343	5/2+(2)	3.154	2	0.212383
4+(3)	6.343	3/2+(3)	3.503	2	0.000113608
4+(3)	6.343	5/2+(3)	3.569	2	0.0161604
4+(3)	6.343	9/2+(1)	3.982	0	0.00166573
4+(3)	6.343	9/2+(1)	3.982	2	0.209509
3+(2)	6.582	3/2+(1)	0	2	0.0409195
3+(2)	6.582	1/2+(1)	0.046	2	3.42003e-06
3+(2)	6.582	5/2+(1)	1.595	0	2.90278e-05
3+(2)	6.582	5/2+(1)	1.595	2	0.00520304
3+(2)	6.582	7/2+(1)	2.099	0	0.0020359
3+(2)	6.582	7/2+(1)	2.099	2	0.1926
3+(2)	6.582	3/2+(2)	2.331	2	0.0258897
3+(2)	6.582	1/2+(2)	2.627	2	9.15959e-05
3+(2)	6.582	5/2+(2)	3.154	0	0.00181886
3+(2)	6.582	5/2+(2)	3.154	2	0.0375916
3+(2)	6.582	3/2+(3)	3.503	2	0.0218537
3+(2)	6.582	5/2+(3)	3.569	0	0.00261472
3+(2)	6.582	5/2+(3)	3.569	2	0.0184069
3+(2)	6.582	9/2+(1)	3.982	2	0.154304
6+(1)	6.744	7/2+(1)	2.099	2	0.0010907
6+(1)	6.744	9/2+(1)	3.982	2	0.320244
2+(5)	6.766	3/2+(1)	0	0	0.000228881
2+(5)	6.766	3/2+(1)	0	2	0.0115983
2+(5)	6.766	1/2+(1)	0.046	2	0.00840217
2+(5)	6.766	5/2+(1)	1.595	0	0.000572834
2+(5)	6.766	5/2+(1)	1.595	2	0.0320638
2+(5)	6.766	7/2+(1)	2.099	2	0.000962417
2+(5)	6.766	3/2+(2)	2.331	0	0.00388769
2+(5)	6.766	3/2+(2)	2.331	2	0.00168599
2+(5)	6.766	1/2+(2)	2.627	2	0.00435039
2+(5)	6.766	5/2+(2)	3.154	0	4.62317e-05
2+(5)	6.766	5/2+(2)	3.154	2	0.0405185
2+(5)	6.766	3/2+(3)	3.503	0	0.0032427
2+(5)	6.766	3/2+(3)	3.503	2	0.0545985
2+(5)	6.766	5/2+(3)	3.569	0	0.0423257
2+(5)	6.766	5/2+(3)	3.569	2	0.00468018
2+(5)	6.766	9/2+(1)	3.982	2	0.000896257
2+(6)	6.853	3/2+(1)	0	0	3.93468e-05
2+(6)	6.853	3/2+(1)	0	2	0.00351824
2+(6)	6.853	1/2+(1)	0.046	2	0.00151302
2+(6)	6.853	5/2+(1)	1.595	0	0.000630675
2+(6)	6.853	5/2+(1)	1.595	2	0.00139103
2+(6)	6.853	7/2+(1)	2.099	2	0.00331809
2+(6)	6.853	3/2+(2)	2.331	0	0.00415442
2+(6)	6.853	3/2+(2)	2.331	2	0.00526935
