base_file,base_id,base_state,compare_file,compare_id,compare_state,compare_J,compare_P,compare_Ex,orbital,dN,dZ,dTotal
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,1,2+(1)(J=2+),2,+,2.053,0d3,0.070470,-0.005059,0.065411
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,1,2+(1)(J=2+),2,+,2.053,0d5,-0.003020,-0.162910,-0.165930
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,1,2+(1)(J=2+),2,+,2.053,1s1,-0.067440,0.167966,0.100526
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,2,2+(2)(J=2+),2,+,4.239,0d3,-0.179900,-0.014844,-0.194744
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,2,2+(2)(J=2+),2,+,4.239,0d5,0.078020,0.124540,0.202560
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,2,2+(2)(J=2+),2,+,4.239,1s1,0.101880,-0.109694,-0.007814
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,3,0+(2)(J=0+),0,+,4.991,0d3,0.805190,0.004257,0.809447
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,3,0+(2)(J=0+),0,+,4.991,0d5,0.040890,0.191030,0.231920
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,3,0+(2)(J=0+),0,+,4.991,1s1,-0.846085,-0.195282,-1.041367
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,4,1+(1)(J=1+),1,+,5.427,0d3,0.351220,-0.011585,0.339635
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,4,1+(1)(J=1+),1,+,5.427,0d5,0.074130,0.157670,0.231800
