Parent_Ex,Parent_Jpi,Total_C2S,0d3/2,0d5/2,1s1/2,Interaction,J,2Jplus1
0.0,2+(1),0.43045647,0.266584,0.00415147,0.159721,USD,2.0,5.0
0.091,1+(1),0.30780464949999997,0.307762,4.26495e-05,0.0,USD,1.0,3.0
0.504,3+(1),0.24472101999999998,0.1861,0.00170002,0.056921,USD,3.0,7.0
0.697,4+(1),0.501887936,0.501047,0.000840936,0.0,USD,4.0,9.0
0.978,3+(2),0.448261756,0.233667,0.000199756,0.214395,USD,3.0,7.0
1.03,2+(2),0.1741954,0.0279436,0.0124678,0.133784,USD,2.0,5.0
1.46,0+(1),0.0180207,0.0,0.0180207,0.0,USD,0.0,1.0
1.537,2+(3),0.38585026068,0.365979,4.76068e-06,0.0198665,USD,2.0,5.0
1.658,1+(2),0.24070522,0.239585,0.00112022,0.0,USD,1.0,3.0
2.09,2+(4),0.04496133,0.0166505,0.00520363,0.0231072,USD,2.0,5.0
0.0,1+(1),0.379904835,0.379541,0.000363835,0.0,USDA,1.0,3.0
0.182,2+(1),0.50413167,0.344122,0.00562667,0.154383,USDA,2.0,5.0
0.735,3+(1),0.39230065636999994,0.388698,0.00359623,6.42637e-06,USDA,3.0,7.0
1.079,4+(1),0.54623381,0.542686,0.00354781,0.0,USDA,4.0,9.0
1.153,3+(2),0.2819461238,0.0690364,5.17238e-05,0.212858,USDA,3.0,7.0
1.297,2+(2),0.3235603,0.196185,0.0113573,0.116018,USDA,2.0,5.0
1.848,0+(1),0.0211424,0.0,0.0211424,0.0,USDA,0.0,1.0
1.901,2+(3),0.145891354,0.136393,0.000443924,0.00905443,USDA,2.0,5.0
1.984,1+(2),0.22936742799999998,0.229209,0.000158428,0.0,USDA,1.0,3.0
2.6038,1+(3),0.1424385,0.105832,0.0366065,0.0,USDA,1.0,3.0
0.0,2+(1),0.48164364000000004,0.346299,0.00223564,0.133109,USDB,2.0,5.0
0.117,1+(1),0.394688759,0.393844,0.000844759,0.0,USDB,1.0,3.0
0.624,3+(1),0.27570828000000003,0.254439,0.00370528,0.017564,USDB,3.0,7.0
0.789,4+(1),0.5938493,0.591084,0.0027653,0.0,USDB,4.0,9.0
1.129,3+(2),0.399208762,0.229435,0.000236762,0.169537,USDB,3.0,7.0
1.389,2+(2),0.35615792,0.23951,0.00896992,0.107678,USDB,2.0,5.0
1.485,0+(1),0.0187457,0.0,0.0187457,0.0,USDB,0.0,1.0
1.834,2+(3),0.165116433,0.156115,0.000334253,0.00866718,USDB,2.0,5.0
2.128,1+(2),0.18787287,0.186825,0.00104787,0.0,USDB,1.0,3.0
2.506,3+(3),0.19695511000000002,0.176736,0.00697801,0.0132411,USDB,3.0,7.0
