Nucleus,Interaction,State,Jp,Ex,E
25Na,USD,5/2+(1),5/2+,0.0,-86.6209
25Na,USD,3/2+(1),3/2+,0.1317,-86.4892
25Na,USD,1/2+(1),1/2+,1.1591,-85.4618
25Na,USD,3/2+(2),3/2+,2.1297,-84.4912
25Na,USD,9/2+(1),9/2+,2.5416,-84.0793
25Na,USD,7/2+(1),7/2+,2.7303,-83.8906
25Na,USD,5/2+(2),5/2+,2.8431,-83.7778
25Na,USD,7/2+(2),7/2+,3.0193,-83.6016
25Na,USD,9/2+(2),9/2+,3.1544,-83.4665
25Na,USD,3/2+(3),3/2+,3.3037,-83.3172
25Na,USD,3/2+(4),3/2+,3.6229,-82.998
25Na,USD,5/2+(3),5/2+,3.6573,-82.9636
25Na,USD,9/2+(3),9/2+,3.9179,-82.703
25Na,USDA,5/2+(1),5/2+,0.0,-86.7068
25Na,USDA,3/2+(1),3/2+,0.1811,-86.5257
25Na,USDA,1/2+(1),1/2+,1.0283,-85.6785
25Na,USDA,3/2+(2),3/2+,2.0152,-84.6916
25Na,USDA,9/2+(1),9/2+,2.5223,-84.1845
25Na,USDA,7/2+(1),7/2+,2.7909,-83.9159
25Na,USDA,5/2+(2),5/2+,2.919,-83.7878
25Na,USDA,9/2+(2),9/2+,3.2629,-83.4439
25Na,USDA,7/2+(2),7/2+,3.421,-83.2858
25Na,USDA,3/2+(3),3/2+,3.5615,-83.1453
25Na,USDA,5/2+(3),5/2+,3.8136,-82.8932
25Na,USDA,3/2+(4),3/2+,3.9131,-82.7937
25Na,USDA,9/2+(3),9/2+,3.9279,-82.7789
25Na,USDB,5/2+(1),5/2+,0.0,-86.7195
25Na,USDB,3/2+(1),3/2+,0.1138,-86.6057
25Na,USDB,1/2+(1),1/2+,0.9657,-85.7538
25Na,USDB,3/2+(2),3/2+,1.981,-84.7385
25Na,USDB,9/2+(1),9/2+,2.4935,-84.226
25Na,USDB,7/2+(1),7/2+,2.6917,-84.0278
25Na,USDB,5/2+(2),5/2+,2.8068,-83.9127
25Na,USDB,9/2+(2),9/2+,3.2112,-83.5083
25Na,USDB,7/2+(2),7/2+,3.2544,-83.4651
25Na,USDB,3/2+(3),3/2+,3.5246,-83.1949
25Na,USDB,5/2+(3),5/2+,3.7971,-82.9224
25Na,USDB,9/2+(3),9/2+,3.8652,-82.8543
25Na,USDB,3/2+(4),3/2+,3.9938,-82.7257
26Na,USD,1+(1),1+,0.0,-92.2269
26Na,USD,3+(1),3+,0.1822,-92.0447
26Na,USD,2+(1),2+,0.1867,-92.0402
26Na,USD,2+(2),2+,0.4133,-91.8136
26Na,USD,3+(2),3+,1.4293,-90.7976
26Na,USD,1+(2),1+,1.5313,-90.6956
26Na,USD,0+(1),0+,1.6003,-90.6266
26Na,USD,4+(1),4+,1.6519,-90.575
26Na,USD,4+(2),4+,1.8294,-90.3975
26Na,USD,2+(3),2+,1.8444,-90.3825
26Na,USD,2+(4),2+,2.1658,-90.0611
26Na,USD,1+(3),1+,2.2714,-89.9555
26Na,USD,5+(1),5+,2.4583,-89.7686
26Na,USD,1+(4),1+,2.7202,-89.5067
26Na,USD,3+(3),3+,2.7963,-89.4306
26Na,USD,0+(2),0+,2.8829,-89.344
26Na,USD,4+(3),4+,2.9334,-89.2935
26Na,USD,2+(5),2+,2.9539,-89.273
26Na,USD,5+(2),5+,3.006,-89.2209
26Na,USD,4+(4),4+,3.3647,-88.8622
26Na,USDA,3+(1),3+,0.0,-92.2058
26Na,USDA,1+(1),1+,0.0767,-92.1291
26Na,USDA,2+(1),2+,0.1484,-92.0574
26Na,USDA,2+(2),2+,0.4159,-91.7899
26Na,USDA,1+(2),1+,1.4089,-90.7969
26Na,USDA,0+(1),0+,1.5223,-90.6835
26Na,USDA,3+(2),3+,1.6756,-90.5302
26Na,USDA,4+(1),4+,1.7577,-90.4481
26Na,USDA,4+(2),4+,2.0479,-90.1579
26Na,USDA,2+(3),2+,2.1415,-90.0643
26Na,USDA,5+(1),5+,2.2403,-89.9655
26Na,USDA,1+(3),1+,2.4117,-89.7941
26Na,USDA,2+(4),2+,2.4522,-89.7536
26Na,USDA,1+(4),1+,2.5998,-89.606
26Na,USDA,3+(3),3+,2.9303,-89.2755
26Na,USDA,2+(5),2+,3.115,-89.0908
26Na,USDA,5+(2),5+,3.1175,-89.0883
26Na,USDA,4+(3),4+,3.1911,-89.0147
26Na,USDA,2+(6),2+,3.3921,-88.8137
26Na,USDA,0+(2),0+,3.4881,-88.7177
26Na,USDB,3+(1),3+,0.0,-92.2143
26Na,USDB,1+(1),1+,0.0038,-92.2105
26Na,USDB,2+(1),2+,0.1081,-92.1062
26Na,USDB,2+(2),2+,0.3252,-91.8891
26Na,USDB,1+(2),1+,1.281,-90.9333
26Na,USDB,4+(1),4+,1.6279,-90.5864
26Na,USDB,3+(2),3+,1.7078,-90.5065
26Na,USDB,0+(1),0+,1.7403,-90.474
26Na,USDB,4+(2),4+,1.9884,-90.2259
26Na,USDB,2+(3),2+,2.0589,-90.1554
26Na,USDB,5+(1),5+,2.2243,-89.99
26Na,USDB,2+(4),2+,2.2365,-89.9778
26Na,USDB,1+(3),1+,2.4499,-89.7644
26Na,USDB,1+(4),1+,2.6772,-89.5371
26Na,USDB,3+(3),3+,2.7259,-89.4884
26Na,USDB,5+(2),5+,2.977,-89.2373
26Na,USDB,4+(3),4+,2.9976,-89.2167
26Na,USDB,2+(5),2+,3.0655,-89.1488
26Na,USDB,0+(2),0+,3.2309,-88.9834
26Na,USDB,4+(4),4+,3.4338,-88.7805
